county                                       u5   seats  per100  provs desert
covington city (51)                         179       0     0.0      0 DESERT
sherman (48)                                183      12     6.6      1 DESERT
kimball (31)                                185      71    38.4      4 
chase (31)                                  186     166    89.2      6 
tillman (40)                                186     121    65.1      4 
bent (08)                                   187     121    64.7      3 
grant (27)                                  188     184    97.9     23 
oldham (48)                                 192      12     6.2      1 DESERT
collingsworth (48)                          194     106    54.6      3 
sutton (48)                                 195      55    28.2      2 DESERT
cochran (48)                                197       0     0.0      0 DESERT
coal (40)                                   197     223   113.2      7 
sussex (51)                                 197     149    75.6      4 
williamsburg city (51)                      198       0     0.0      0 DESERT
nuckolls (31)                               199     130    65.3      7 
cumberland (51)                             199      58    29.1      4 DESERT
san miguel (08)                             201     572   284.6     12 
wheeler (48)                                206     160    77.7      2 
schleicher (48)                             207      40    19.3      2 DESERT
mahnomen (27)                               207     205    99.0     17 
woods (40)                                  211     213   100.9     18 
lipscomb (48)                               213      12     5.6      1 DESERT
greensville (51)                            213      30    14.1      1 DESERT
kimble (48)                                 217      98    45.2      2 
fisher (48)                                 218       0     0.0      0 DESERT
martin (48)                                 220      24    10.9      2 DESERT
lake (27)                                   220     224   101.8     17 
murray (27)                                 221     320   144.8     22 
hardeman (48)                               222     276   124.3      4 
mason (48)                                  222      53    23.9      3 DESERT
major (40)                                  222     216    97.3      7 
marshall (27)                               223     324   145.3     22 
haskell (48)                                225     128    56.9      2 
koochiching (27)                            228     320   140.4     26 
richmond (51)                               229    2456  1072.5     42 
northampton (51)                            233     107    45.9      5 
johnson (31)                                234     100    42.7      4 
valley (31)                                 235     241   102.6      8 
buena vista city (51)                       236       0     0.0      0 DESERT
lunenburg (51)                              237       0     0.0      0 DESERT
grayson (51)                                241     137    56.8      2 
thayer (31)                                 242     357   147.5     15 
lincoln (08)                                247     163    66.0      5 
washington (08)                             252     222    88.1      8 
clear creek (08)                            254     585   230.3     11 
furnas (31)                                 256     233    91.0     16 
carson (48)                                 257     104    40.5      2 
san saba (48)                               257     117    45.5      8 
clearwater (27)                             260     214    82.3     21 
phillips (08)                               263     156    59.3      7 
blaine (40)                                 263     176    66.9      8 
charlotte (51)                              266      60    22.6      2 DESERT
washita (40)                                267     136    50.9     10 
alleghany (51)                              268       0     0.0      0 DESERT
latimer (40)                                269     275   102.2     10 
huerfano (08)                               272      84    30.9      4 DESERT
pope (27)                                   275     416   151.3     24 
dickenson (51)                              276       0     0.0      0 DESERT
polk (31)                                   280     110    39.3     10 
jackson (27)                                280     329   117.5     24 
rock (27)                                   280     583   208.2     27 
johnston (40)                               285     280    98.2     11 
aitkin (27)                                 286     345   120.6     26 
franklin city (51)                          286     111    38.8      6 
okfuskee (40)                               288     141    49.0      6 
pushmataha (40)                             290     275    94.8     10 
saguache (08)                               291     228    78.4      5 
morrill (31)                                291     171    58.8      6 
yellow medicine (27)                        291     387   133.0     32 
cherry (31)                                 292     114    39.0     10 
galax city (51)                             292       0     0.0      0 DESERT
kiowa (40)                                  294     162    55.1      6 
love (40)                                   296     141    47.6      3 
stevens (27)                                297     380   127.9     28 
swift (27)                                  297     410   138.0     35 
gilpin (08)                                 300     320   106.7      4 
crosby (48)                                 301      27     9.0      3 DESERT
floyd (48)                                  306     284    92.8      3 
clarke (51)                                 307     104    33.9      6 
sheridan (31)                               308     163    52.9      7 
poquoson city (51)                          310       0     0.0      0 DESERT
bristol city (51)                           312       0     0.0      0 DESERT
ferry (53)                                  313      63    20.1      2 DESERT
stanton (31)                                314      52    16.6      4 DESERT
childress (48)                              315     203    64.4     11 
boone (31)                                  317     246    77.6     13 
refugio (48)                                317      51    16.1      3 DESERT
northumberland (51)                         317      88    27.8      3 DESERT
nowata (40)                                 323     137    42.4      4 
noble (40)                                  325     404   124.3     23 
floyd (51)                                  328      50    15.2      2 DESERT
nottoway (51)                               328      77    23.5      3 DESERT
chippewa (27)                               329     449   136.5     34 
atoka (40)                                  334     314    94.0      8 
fillmore (31)                               337     239    70.9     11 
falls church city (51)                      337       0     0.0      0 DESERT
dixon (31)                                  340     102    30.0      4 DESERT
reagan (48)                                 340       3     0.9      1 DESERT
nelson (51)                                 340      69    20.3      1 DESERT
goliad (48)                                 341      98    28.7      2 DESERT
brunswick (51)                              342      10     2.9      1 DESERT
burt (31)                                   345      80    23.2      7 DESERT
faribault (27)                              346     384   111.0     29 
crane (48)                                  347     160    46.1      3 
haskell (40)                                347     325    93.7     11 
hansford (48)                               353      69    19.5      4 DESERT
mcculloch (48)                              353       0     0.0      0 DESERT
pipestone (27)                              356     440   123.6     38 
murray (40)                                 356     238    66.9     12 
craig (40)                                  361     238    65.9     12 
rockbridge (51)                             369     172    46.6      5 
keith (31)                                  370     217    58.6     12 
buckingham (51)                             370      80    21.6      2 DESERT
lake (08)                                   373     378   101.3      3 
radford city (51)                           375       0     0.0      0 DESERT
madison (51)                                379     136    35.9      2 
hartley (48)                                380     156    41.1      3 
lynn (48)                                   380     128    33.7      8 
presidio (48)                               380       8     2.1      1 DESERT
hamilton (48)                               382     367    96.1     10 
watonwan (27)                               383     359    93.7     21 
buchanan (51)                               383      26     6.8      1 DESERT
scott (51)                                  385       0     0.0      0 DESERT
patrick (51)                                386      44    11.4      2 DESERT
brewster (48)                               387     189    48.8      7 
san augustine (48)                          387     119    30.7      2 DESERT
marshall (40)                               389       0     0.0      0 DESERT
richardson (31)                             392     257    65.6     13 
pennington (27)                             392     607   154.8     44 
modoc (06)                                  393     284    72.3      9 
renville (27)                               393     657   167.2     45 
kearney (31)                                395     292    73.9     21 
hughes (40)                                 395     270    68.4      9 
essex (51)                                  395      32     8.1      2 DESERT
marion (48)                                 399     285    71.4      3 
clay (31)                                   402     235    58.5     12 
